date,direct_visits,direct_enrollments,brand_spend_k
2025-06-15,87000.0,3047,27.57
2025-06-21,176000.0,3365,148.972
2025-06-22,101000.0,3533,28.949
2025-07-01,254000.0,4901,79.435
2025-07-31,136000.0,4535,81.96
2025-09-01,334000.0,3993,47.129
2025-10-01,293000.0,4685,66.411
2025-10-17,134000.0,3379,99.673
2025-10-18,113000.0,3101,93.844
2025-10-19,107000.0,2785,91.623
2025-10-20,177000.0,3190,212.664
2025-10-31,348000.0,3086,56.996
2025-11-01,401000.0,2854,53.249
2025-11-20,262000.0,3857,64.082
2025-12-01,320000.0,4585,69.058
2025-12-25,136000.0,2612,40.448
2026-01-01,277000.0,3349,60.297
