model,dependent_var,ue_rate_included,variable,coefficient,std_err,t_stat,p_value,ci_lower_95,ci_upper_95,significance,r_squared,adj_r_squared,n_obs,durbin_watson
A,Direct Visits,Yes,const,-272611.0123,231005.5874,-1.1801,0.238,-725373.6438,180151.6191,,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,ai_visibility,711.7966,476.1969,1.4948,0.135,-221.5323,1645.1254,,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,brand_spend_k,-33.273,185.4327,-0.1794,0.8576,-396.7144,330.1684,,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,nb_spend_k,237.5454,72.6148,3.2713,0.0011,95.2231,379.8678,**,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,unemployment_rate,85537.7017,52341.1484,1.6342,0.1022,-17049.064,188124.4674,,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,is_weekend,-24840.1814,4035.6448,-6.1552,0.0,-32749.8999,-16930.4629,***,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,month_sin,2538.3441,10069.1446,0.2521,0.801,-17196.8167,22273.5049,,0.5325,0.516,206,0.9078
A,Direct Visits,Yes,month_cos,17556.7586,8255.6567,2.1266,0.0335,1375.9688,33737.5485,*,0.5325,0.516,206,0.9078
B,Direct Enrollments,Yes,const,5251.7918,1942.2702,2.7039,0.0069,1445.0121,9058.5714,**,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,ai_visibility,2.8058,4.5199,0.6208,0.5348,-6.053,11.6647,,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,brand_spend_k,-0.6441,1.9224,-0.3351,0.7376,-4.4119,3.1236,,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,nb_spend_k,1.2058,0.7574,1.592,0.1114,-0.2787,2.6904,,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,unemployment_rate,-399.1143,443.6451,-0.8996,0.3683,-1268.6427,470.4141,,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,is_weekend,-452.2615,44.48,-10.1678,0.0,-539.4407,-365.0824,***,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,month_sin,-84.1666,91.5457,-0.9194,0.3579,-263.593,95.2597,,0.4637,0.4447,206,0.9259
B,Direct Enrollments,Yes,month_cos,8.1842,84.3196,0.0971,0.9227,-157.0793,173.4476,,0.4637,0.4447,206,0.9259
C,Visits (lags),Yes,const,-342813.22,238638.5442,-1.4365,0.1508,-810536.1719,124909.7319,,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,ai_vis_lag1,646.0418,646.2846,0.9996,0.3175,-620.6527,1912.7364,,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,ai_vis_lag2,121.5805,627.0654,0.1939,0.8463,-1107.445,1350.606,,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,ai_vis_lag3,281.3663,605.1571,0.4649,0.642,-904.7198,1467.4525,,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,brand_spend_k_lag1,8.7682,196.595,0.0446,0.9644,-376.5508,394.0873,,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,nb_spend_k_lag1,243.5518,55.2721,4.4064,0.0,135.2205,351.8831,***,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,unemployment_rate,97989.7626,52152.7582,1.8789,0.0603,-4227.7651,200207.2904,.,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,is_weekend,-27567.9405,3542.1316,-7.7829,0.0,-34510.3909,-20625.4902,***,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,month_sin,4972.7117,10198.9581,0.4876,0.6259,-15016.8789,24962.3023,,0.5424,0.5214,206,0.8799
C,Visits (lags),Yes,month_cos,18066.7805,8162.087,2.2135,0.0269,2069.3841,34064.177,*,0.5424,0.5214,206,0.8799
D,Enrollments (lags),Yes,const,5944.5075,2137.1211,2.7815,0.0054,1755.8271,10133.1879,**,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,ai_vis_lag1,1.3669,5.5383,0.2468,0.8051,-9.4879,12.2217,,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,ai_vis_lag2,-6.7672,6.4445,-1.0501,0.2937,-19.3981,5.8638,,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,ai_vis_lag3,5.0592,6.519,0.7761,0.4377,-7.7178,17.8363,,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,brand_spend_k_lag1,-4.5434,1.9469,-2.3337,0.0196,-8.3592,-0.7276,*,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,nb_spend_k_lag1,0.4779,0.7354,0.6498,0.5158,-0.9635,1.9192,,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,unemployment_rate,-457.1469,470.0319,-0.9726,0.3308,-1378.3925,464.0986,,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,is_weekend,-477.3885,37.7984,-12.6299,0.0,-551.472,-403.305,***,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,month_sin,-125.933,97.5261,-1.2913,0.1966,-317.0807,65.2146,,0.4786,0.4546,206,0.9269
D,Enrollments (lags),Yes,month_cos,6.3128,85.6784,0.0737,0.9413,-161.6138,174.2393,,0.4786,0.4546,206,0.9269
E,Direct Visits,No,const,104664.495,22369.0611,4.679,0.0,60821.9408,148507.0491,***,0.5244,0.5101,206,0.8831
E,Direct Visits,No,ai_visibility,394.3404,428.6181,0.92,0.3576,-445.7357,1234.4165,,0.5244,0.5101,206,0.8831
E,Direct Visits,No,brand_spend_k,-88.9952,180.2305,-0.4938,0.6215,-442.2406,264.2501,,0.5244,0.5101,206,0.8831
E,Direct Visits,No,nb_spend_k,275.8444,68.5834,4.022,0.0001,141.4235,410.2654,***,0.5244,0.5101,206,0.8831
E,Direct Visits,No,is_weekend,-24525.3054,4058.0308,-6.0436,0.0,-32478.8996,-16571.7111,***,0.5244,0.5101,206,0.8831
E,Direct Visits,No,month_sin,-12111.546,4171.7582,-2.9032,0.0037,-20288.0418,-3935.0501,**,0.5244,0.5101,206,0.8831
E,Direct Visits,No,month_cos,30374.9658,3818.6092,7.9545,0.0,22890.6293,37859.3024,***,0.5244,0.5101,206,0.8831
F,Direct Enrollments,No,const,3491.4446,250.7744,13.9226,0.0,2999.9357,3982.9535,***,0.4616,0.4454,206,0.9231
F,Direct Enrollments,No,ai_visibility,4.287,4.291,0.9991,0.3178,-4.1231,12.6972,,0.4616,0.4454,206,0.9231
F,Direct Enrollments,No,brand_spend_k,-0.3841,1.8881,-0.2034,0.8388,-4.0848,3.3165,,0.4616,0.4454,206,0.9231
F,Direct Enrollments,No,nb_spend_k,1.0271,0.6839,1.502,0.1331,-0.3132,2.3675,,0.4616,0.4454,206,0.9231
F,Direct Enrollments,No,is_weekend,-453.7307,44.1211,-10.2838,0.0,-540.2065,-367.2549,***,0.4616,0.4454,206,0.9231
F,Direct Enrollments,No,month_sin,-15.811,42.5075,-0.372,0.7099,-99.1242,67.5021,,0.4616,0.4454,206,0.9231
F,Direct Enrollments,No,month_cos,-51.6249,46.9375,-1.0999,0.2714,-143.6207,40.3709,,0.4616,0.4454,206,0.9231
G,Visits (lags),No,const,95914.4651,29021.4516,3.305,0.0009,39033.4651,152795.465,***,0.5326,0.5136,206,0.8623
G,Visits (lags),No,ai_vis_lag1,496.6773,619.0349,0.8023,0.4224,-716.6088,1709.9633,,0.5326,0.5136,206,0.8623
G,Visits (lags),No,ai_vis_lag2,-21.6249,615.8988,-0.0351,0.972,-1228.7644,1185.5147,,0.5326,0.5136,206,0.8623
G,Visits (lags),No,ai_vis_lag3,78.8065,588.3596,0.1339,0.8934,-1074.3572,1231.9701,,0.5326,0.5136,206,0.8623
G,Visits (lags),No,brand_spend_k_lag1,-68.3728,187.1598,-0.3653,0.7149,-435.1992,298.4536,,0.5326,0.5136,206,0.8623
G,Visits (lags),No,nb_spend_k_lag1,286.9217,56.5308,5.0755,0.0,176.1233,397.7201,***,0.5326,0.5136,206,0.8623
G,Visits (lags),No,is_weekend,-27214.0462,3677.4635,-7.4002,0.0,-34421.7423,-20006.3501,***,0.5326,0.5136,206,0.8623
G,Visits (lags),No,month_sin,-12055.8375,4239.0022,-2.844,0.0045,-20364.1292,-3747.5458,**,0.5326,0.5136,206,0.8623
G,Visits (lags),No,month_cos,31683.8004,4618.1499,6.8607,0.0,22632.3929,40735.208,***,0.5326,0.5136,206,0.8623
H,Enrollments (lags),No,const,3897.7323,269.3742,14.4696,0.0,3369.7686,4425.696,***,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,ai_vis_lag1,2.0637,5.5473,0.372,0.7099,-8.8088,12.9361,,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,ai_vis_lag2,-6.0991,6.2412,-0.9772,0.3285,-18.3316,6.1334,,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,ai_vis_lag3,6.0042,6.6003,0.9097,0.363,-6.932,18.9405,,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,brand_spend_k_lag1,-4.1835,1.8286,-2.2878,0.0222,-7.7675,-0.5994,*,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,nb_spend_k_lag1,0.2756,0.6689,0.4119,0.6804,-1.0355,1.5866,,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,is_weekend,-479.0395,37.503,-12.7734,0.0,-552.5441,-405.5349,***,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,month_sin,-46.4906,42.612,-1.091,0.2753,-130.0086,37.0274,,0.4761,0.4548,206,0.9229
H,Enrollments (lags),No,month_cos,-57.214,52.8628,-1.0823,0.2791,-160.8233,46.3952,,0.4761,0.4548,206,0.9229
